Name,Gender,Grade,Math,Science,English,Total
Advika',1,1,25,5,71 marks,101
Krishna,0,4,13 marks,0 marks,16,29
Saanvi',0,7,84 marks,50 marks,92,226
Arjun',1,Grade 9,18,58,66 marks,142
ADVIKA,m,10,14,55 marks,64,133
DIYA,Female,8,94 marks,45 marks,61,200
KRISHNA,0,7,8,34 marks,17,59
ARJUN,Female,10,66,47,48 marks,161
Krishna',male,2,15 marks,45,75 marks,135
Reyansh,m,3,92 marks,92,76,260
Isha,male,2,32,20,5 marks,57
KABIR,M,12,67,100,56,223
"""Aryan""",f,Grade 4,66,1 marks,57 marks,124
Advika,male,Grade 7,21 marks,18 marks,67 marks,106
SAANVI,M,Grade 7,16,70,81 marks,167
Anika,1,Grade 12,1,64 marks,17 marks,82
Ishaan',male,6,96 marks,60,65,221
"""Ananya""",F,Grade 2,16,72,76 marks,164
ANIKA,female,12,99 marks,11 marks,41,151
KRISHNA,female,2,66,74,81,221
KABIR,f,Grade 6,97 marks,90,63,250
Aditi,Male,12,93,97,85,275
Ananya,F,Grade 1,18,55,67 marks,140
"""Anika""",F,9,15,58 marks,47 marks,120
Zara,Male,12,86,3,67,156
ANANYA,male,Grade 4,31,44,53,128
Reyansh,M,Grade 5,37,20,75,132
"""Isha""",0,10,52,36,26 marks,114
Ishaan,Male,11,26 marks,52,57 marks,135
Anika,F,7,20,69 marks,31,120
Saanvi',0,12,27,90,2 marks,119
"""Ananya""",1,Grade 4,34 marks,29 marks,81 marks,144
Rohan,1,3,88,73,24 marks,185
Rohan,Male,11,46,82,38,166
"""Isha""",M,3,41 marks,19,99,159
"""Zara""",male,1,47 marks,98,41,186
Arjun',male,9,29,21,11,61
Aarav',M,Grade 9,0,64,28,92
AARAV,female,Grade 3,54,39,14,107
Aditi',F,6,79,76,32,187
Zara,f,11,25,68 marks,59,152
Vihaan',f,12,2,46,17,65
Vihaan',male,7,30 marks,7 marks,30,67
Saanvi,f,10,57 marks,31 marks,46,134
Diya',M,8,48,14,99,161
Krishna,0,4,100,13,64,177
Ishaan',Female,2,89,33 marks,88,210
ADITI,m,Grade 4,49 marks,21 marks,69 marks,139
Diya',Female,4,83,79,6,168
Aarav,Female,11,95 marks,40,58 marks,193
"""Anika""",F,5,24,32 marks,100 marks,156
Ishaan',m,12,59,4,21,84
Vihaan,male,5,84,34,76 marks,194
Aditi',M,Grade 6,28,98 marks,7,133
ARYAN,0,2,28,29 marks,9,66
ANIKA,0,11,70,86,69,225
ISHAAN,f,Grade 10,43,0 marks,91 marks,134
NAVYA,m,Grade 9,5,61,27 marks,93
"""Isha""",M,10,59,86 marks,3,148
ADITI,M,3,20 marks,55,27 marks,102
Isha',Male,Grade 1,87,84,98 marks,269
Vihaan',0,Grade 4,88,33,7,128
"""Anika""",m,Grade 6,53,71,48,172
"""Navya""",1,10,27,68,70 marks,165
"""Rohan""",M,Grade 2,89 marks,51,12,152
Aryan',m,10,46,93,5,144
"""Advika""",Male,Grade 2,33,23 marks,87,143
Arjun',f,11,52,96,33,181
"""Shaurya""",Female,1,18 marks,3,44 marks,65
Aryan',m,9,23,81,47,151
"""Aarav""",1,Grade 4,81 marks,73,21,175
Advika',M,Grade 12,97 marks,42,41,180
Advika,0,Grade 8,61,6,43 marks,110
"""Myra""",Male,Grade 7,81,10,91,182
"""Rohan""",female,4,48,83,57,188
Advika,m,Grade 1,48,48,5 marks,101
Rohan,1,9,42,35 marks,16,93
Vihaan,F,Grade 1,45,52,58 marks,155
Aryan,f,3,57 marks,38,44,139
Reyansh,F,5,68 marks,80,71 marks,219
ZARA,F,Grade 5,29 marks,30 marks,26,85
AARAV,M,Grade 6,79,57 marks,7 marks,143
"""Arjun""",male,Grade 8,99,75,94 marks,268
Anika,0,12,56,55,31 marks,142
Arjun,Female,11,65,71,30,166
Ishaan,0,6,48,85,15,148
"""Diya""",m,Grade 10,20 marks,16,92 marks,128
REYANSH,m,8,19,50,19,88
Ishaan,M,1,70,3 marks,76 marks,149
"""Zara""",Male,9,35,54 marks,93,182
Isha',F,10,9 marks,69,49,127
Diya',1,4,33,11,25,69
ROHAN,m,1,24,24,25 marks,73
SHAURYA,m,11,84 marks,0,73 marks,157
ANANYA,M,11,52 marks,63,52,167
Myra,0,11,7,61,5 marks,73
"""Arjun""",0,Grade 10,29 marks,11 marks,54,94
Diya',Male,Grade 12,88 marks,38,6 marks,132
"""Aditi""",female,Grade 4,59,40,11,110
Ananya,male,5,91 marks,30 marks,75,196
ROHAN,male,1,23,43,99 marks,165
Navya,female,Grade 8,41 marks,52,24,117
Ishaan,male,9,65,85,100,250
"""Shaurya""",male,8,80,18,57,155
"""Reyansh""",Female,10,70 marks,81,11 marks,162
Ishaan',male,6,68,68 marks,26 marks,162
Anika,1,8,23 marks,39,6,68
Saanvi',Female,4,52 marks,93 marks,58,203
Aarav,m,Grade 3,37,1 marks,77 marks,115
Aarav',f,12,13,52,75,140
Saanvi',1,Grade 8,86,27 marks,14,127
KABIR,Male,8,70 marks,20 marks,9,99
Reyansh',female,7,58,76,11,145
Navya',f,1,25 marks,33,70,128
"""Kabir""",1,Grade 2,90,87,7 marks,184
Ananya',M,9,72,11,93 marks,176
"""Aditi""",F,8,65,46,18,129
"""Zara""",female,Grade 11,73,35 marks,84,192
SAANVI,Male,8,100,2,10 marks,112
"""Isha""",m,2,89,17,48,154
"""Myra""",female,Grade 2,36,67,18,121
Diya,female,Grade 5,35,51,87,173
Aditi,1,Grade 3,62,94,88 marks,244
ARJUN,male,10,61,58,15,134
ZARA,Male,1,26,70 marks,40 marks,136
Diya,m,1,53,3,13 marks,69
Vihaan',F,4,3,49,68,120
Zara',Female,11,100 marks,93,41,234
Arjun',female,Grade 9,3 marks,28 marks,59,90
Reyansh,m,3,65 marks,1,11,77
Saanvi,1,1,92,5 marks,81 marks,178
"""Saanvi""",0,11,85 marks,24,67 marks,176
MYRA,female,12,9 marks,81,10,100
ZARA,Female,12,37,61,68,166
ISHA,f,5,92 marks,74,64,230
ARYAN,M,9,28 marks,69 marks,29,126
Zara,0,3,10,99,10 marks,119
Saanvi',male,5,0,32,51,83
Myra',Female,11,66,30 marks,31,127
"""Ishaan""",1,6,94,13,18,125
"""Zara""",m,8,4,47,22,73
"""Aditi""",m,Grade 8,98,36,99 marks,233
"""Ishaan""",F,Grade 4,2,98,99,199
ADVIKA,Male,Grade 9,27 marks,16,19 marks,62
"""Anika""",1,6,91,18,32,141
Krishna,F,8,5,33 marks,74,112
"""Zara""",F,2,86,79 marks,75,240
Myra',Male,10,35,0 marks,81 marks,116
"""Anika""",m,Grade 6,16,9 marks,14,39
Anika',Female,6,70,37 marks,74,181
Isha',male,Grade 1,52 marks,60,56,168
NAVYA,male,6,55,55,72,182
Vihaan,F,12,38,95,30,163
Navya',female,9,91 marks,18,36,145
Reyansh,Female,Grade 12,13,70,88,171
Ishaan',1,8,7,87 marks,10 marks,104
Diya,Female,Grade 5,27,89 marks,0 marks,116
Shaurya,Male,Grade 7,8 marks,85,42 marks,135
ANANYA,f,Grade 5,60,22 marks,58,140
Anika',female,11,97,82 marks,72 marks,251
Navya',F,8,4 marks,31,40,75
Navya,M,Grade 4,52 marks,94 marks,85 marks,231
Advika,f,Grade 10,89,93,13,195
"""Vihaan""",f,Grade 4,80,45,60,185
ROHAN,M,Grade 11,14,77,70,161
Advika,f,Grade 10,52 marks,46,63 marks,161
Kabir,female,6,35 marks,53 marks,46,134
Zara,F,7,9,95,30,134
AARAV,male,2,86,24,32,142
Ananya',Male,3,29,40,47 marks,116
"""Arjun""",m,11,88 marks,59,61,208
Reyansh,Male,Grade 11,16,87,21 marks,124
"""Ananya""",f,Grade 2,98 marks,84 marks,14,196
Arjun,1,2,87,36,38,161
Anika,male,10,2 marks,38,83 marks,123
Krishna',Male,Grade 3,38 marks,70 marks,48,156
SHAURYA,F,2,52,37,11 marks,100
Aarav,M,2,42,64,69,175
Myra',female,Grade 6,56,62 marks,28,146
"""Zara""",M,Grade 6,88 marks,18 marks,88,194
"""Navya""",M,Grade 9,72 marks,92,83,247
Reyansh',female,6,83,95,73,251
"""Kabir""",m,11,43,0 marks,53,96
ISHAAN,f,4,85,27,21,133
Rohan',f,11,3,42,68,113
ISHAAN,0,3,72,9,15,96
Aryan',Female,11,75 marks,7,63,145
Ananya,Female,3,73 marks,47 marks,28,148
Vihaan,M,Grade 8,80 marks,6,75,161
"""Isha""",M,2,68,10,41,119
Krishna',Male,Grade 10,33,39 marks,6,78
Aarav',1,3,49,54,81,184
"""Aarav""",m,2,61,2,89,152
"""Ananya""",f,2,23,36,26,85
Zara,0,Grade 5,77,13,93,183
"""Vihaan""",Male,Grade 11,34,15,88,137
Ishaan',Female,8,72,28,52,152
Kabir',0,1,89,72,39,200
"""Anika""",F,10,91 marks,70,17 marks,178
Rohan',female,Grade 11,88,8 marks,19,115
Isha',Male,9,9,87,30 marks,126
Zara',f,6,58 marks,100 marks,28,186
Aditi',female,10,62 marks,75 marks,35 marks,172
KABIR,m,2,100 marks,32 marks,26,158
SHAURYA,Male,10,82 marks,23 marks,46,151
"""Vihaan""",male,4,63 marks,17,85 marks,165
ADITI,f,Grade 12,57,74,78,209
"""Aarav""",F,8,38,12,36 marks,86
"""Advika""",m,Grade 12,13 marks,50,62,125
Rohan',M,Grade 5,57,53,93,203
DIYA,male,12,26,10 marks,3,39
"""Isha""",M,10,96,46,41,183
"""Rohan""",Male,Grade 11,73,79 marks,41,193
Isha,Female,4,76,32 marks,98,206
Saanvi',female,9,37,32 marks,85,154
Saanvi',Male,Grade 10,14 marks,40 marks,72 marks,126
SHAURYA,f,3,7 marks,99 marks,56,162
Ananya,Male,2,82,91,41,214
"""Diya""",male,Grade 5,84 marks,62,6,152
"""Vihaan""",male,7,50,96 marks,28,174
Krishna,1,Grade 12,69 marks,34,56,159
SAANVI,m,1,64,7,29 marks,100
Anika,0,5,83,64,69,216
"""Ishaan""",1,10,26 marks,62 marks,82 marks,170
ARJUN,1,Grade 2,47,52,98 marks,197
Myra,M,Grade 11,10 marks,33,52,95
Krishna',Male,12,76,9,67,152
NAVYA,0,8,49,26,85,160
Reyansh,0,12,19,62 marks,98,179
"""Aryan""",Male,6,10,65,98,173
"""Anika""",m,3,33,43 marks,65,141
"""Vihaan""",0,2,56,21 marks,22 marks,99
Vihaan',M,Grade 11,16,93 marks,2 marks,111
Rohan',f,Grade 7,73,50,42 marks,165
Reyansh',F,6,24,10,86,120
DIYA,male,6,98 marks,24,31,153
Kabir,M,7,50 marks,14,77 marks,141
"""Myra""",0,6,11,52,85 marks,148
ROHAN,M,Grade 3,97,83 marks,58 marks,238
Advika,F,8,46,16,79,141
ANANYA,Female,Grade 1,73,98 marks,61,232
Reyansh',Female,3,2,49 marks,55 marks,106
MYRA,f,8,96 marks,35,23,154
Reyansh,male,1,48 marks,82,14,144
NAVYA,1,Grade 3,72 marks,70 marks,57,199
DIYA,M,4,37 marks,38,59 marks,134
ARYAN,Female,Grade 9,26,100,23,149
Aryan,Male,10,21,28 marks,29 marks,78
Ananya',M,10,80 marks,7 marks,85,172
Isha,F,1,22 marks,81,29 marks,132
Zara',F,Grade 9,71,60,53 marks,184
Shaurya',Female,11,80,13,97,190
ZARA,M,11,78,46,25,149
"""Krishna""",Male,Grade 12,74,75 marks,72 marks,221
Anika',male,6,88,60,79,227
Reyansh,1,Grade 1,21,52 marks,57,130
Aarav,Female,4,89 marks,36 marks,23,148
"""Diya""",1,9,51,32,55,138
SAANVI,female,8,1,80,12 marks,93
ARYAN,female,Grade 4,61,65,75 marks,201
Aarav,male,12,44 marks,75,24 marks,143
Ananya',M,Grade 2,46 marks,80,14,140
ZARA,M,7,97,93,66,256
Navya,female,4,99,48,15,162
Advika',F,8,8 marks,64 marks,39,111
"""Diya""",Male,9,95,90,71,256
Aryan',F,Grade 1,48 marks,59,23,130
ISHAAN,f,Grade 3,44,42,63,149
"""Ishaan""",F,Grade 1,11,98,27 marks,136
Anika',M,7,34,39,62 marks,135
"""Rohan""",male,8,87,42 marks,50,179
Reyansh,1,9,95 marks,26,27,148
VIHAAN,M,Grade 8,64,9,33,106
Ishaan,male,Grade 7,73,99 marks,77,249
Saanvi,0,1,82 marks,4,69,155
Navya',M,8,16,46 marks,49,111
"""Ishaan""",F,4,39,91 marks,52,182
ADVIKA,F,12,62,95,12 marks,169
"""Kabir""",M,Grade 12,12,1,92,105
Aryan',m,Grade 4,14,73,86,173
ISHA,1,4,53,86,51 marks,190
Ananya',m,9,6 marks,2,34,42
"""Aditi""",F,Grade 1,47,46,79,172
"""Saanvi""",0,10,87 marks,10,25,122
Aryan',m,Grade 9,21,20 marks,80 marks,121
Navya,1,Grade 8,70,74 marks,42,186
"""Aarav""",M,Grade 1,91,3,79,173
Zara,female,Grade 4,92 marks,42,71,205
ADVIKA,female,11,54 marks,86 marks,52,192
ISHAAN,F,8,37 marks,72,18,127
KRISHNA,F,3,45,79,21,145
VIHAAN,Male,4,93,84,87 marks,264
"""Navya""",M,1,53,15 marks,94,162
"""Anika""",F,10,32 marks,73 marks,22,127
KRISHNA,1,1,82 marks,6,59 marks,147
Myra',m,Grade 7,35 marks,18,75,128
Aryan,F,2,47,62,71,180
Zara',Female,7,26,27 marks,18,71
MYRA,0,7,60 marks,85,62 marks,207
Krishna,male,Grade 4,61,39,76,176
ADVIKA,M,Grade 2,54,40 marks,52,146
"""Rohan""",Female,8,81 marks,16,24,121
"""Advika""",F,3,97 marks,7 marks,8,112
Anika',M,12,87,28 marks,40 marks,155
Ananya',female,Grade 3,14,53,3,70
ISHAAN,m,8,13 marks,12 marks,7 marks,32
Advika',f,12,63 marks,88,91,242
"""Ishaan""",m,12,81,41 marks,85,207
Zara,M,Grade 2,66 marks,46 marks,45,157
Advika,M,2,65,55 marks,59,179
Diya,0,5,83,62,41 marks,186
Myra,m,Grade 10,41 marks,91,27 marks,159
"""Aditi""",male,Grade 2,27 marks,40,87 marks,154
ANIKA,Female,9,42,31 marks,35,108
Myra',male,Grade 6,51 marks,23 marks,18,92
NAVYA,Female,7,86,0 marks,19 marks,105
ARYAN,f,11,36 marks,71,81,188
NAVYA,Male,Grade 10,50,65,78 marks,193
"""Shaurya""",Female,12,39,2 marks,13,54
Ishaan',M,10,82,14,46,142
Vihaan',M,7,50,42,44 marks,136
"""Ishaan""",0,3,51,7 marks,21,79
ISHAAN,Female,1,55,19 marks,9 marks,83
NAVYA,0,Grade 9,42 marks,70,56,168
REYANSH,Female,Grade 3,60 marks,77 marks,35,172
Shaurya,F,4,27,18,72 marks,117
"""Ishaan""",F,Grade 5,50,21,84 marks,155
Diya',F,12,77,41,40 marks,158
"""Myra""",M,9,3,51,46,100
Kabir,female,11,19,14,96 marks,129
Diya',M,7,11,8,57,76
ARJUN,M,8,21 marks,89,97 marks,207
"""Aditi""",m,Grade 7,1,97,33,131
Krishna,0,1,2,50,94,146
"""Saanvi""",Female,2,10 marks,100,20,130
Navya',M,3,24,97,49,170
Isha,Male,5,9,1,63,73
ROHAN,F,2,97,6,98,201
NAVYA,M,Grade 6,40,75 marks,100,215
Shaurya',Male,7,84,68 marks,96 marks,248
Shaurya',F,Grade 8,12 marks,12 marks,20 marks,44
Aarav,F,3,43,68 marks,18,129
Shaurya',1,Grade 5,62,0,18,80
Zara,F,12,91 marks,66 marks,15,172
"""Zara""",F,12,84,93,79,256
Myra',Male,4,15,60,99,174
Navya,f,10,95 marks,77,52,224
Saanvi,M,5,58 marks,29,98,185
Zara',M,3,94 marks,63 marks,90,247
Saanvi,Male,11,25 marks,38,77,140
Ananya,1,5,69,41 marks,41,151
Isha',female,8,44 marks,38,8,90
Kabir',0,1,4,70,38 marks,112
Aarav,F,Grade 5,11,92,35 marks,138
Shaurya',m,7,40,71 marks,11,122
REYANSH,male,12,64,100 marks,55 marks,219
Ishaan,1,4,73 marks,30 marks,28,131
Navya,M,9,34 marks,9,17,60
ISHAAN,F,10,72,15,96 marks,183
Advika',1,Grade 8,30 marks,32,72,134
DIYA,M,5,49,84 marks,28,161
Vihaan',F,12,18,27,9,54
Arjun',female,8,62,42 marks,79,183
"""Advika""",M,Grade 10,22,35,71,128
ISHA,M,Grade 8,62,89,31,182
Krishna,1,Grade 11,79,78,70,227
"""Aryan""",male,Grade 11,24,54 marks,49 marks,127
ARYAN,Male,Grade 9,20 marks,66,44,130
Ishaan,F,Grade 1,69 marks,98,4,171
Rohan,f,Grade 7,33,7,90 marks,130
Shaurya,M,5,48,99,87 marks,234
"""Anika""",Female,Grade 6,6,43,87 marks,136
DIYA,Male,4,65,41 marks,72,178
"""Diya""",F,Grade 6,6,76,76,158
ZARA,male,12,76,14,38,128
Aarav,0,Grade 9,86,33,88,207
ARYAN,Female,6,40,86 marks,99,225
"""Advika""",1,6,83,36,28 marks,147
Arjun',F,4,24,59,46 marks,129
"""Myra""",f,6,99,44 marks,51,194
Myra,m,5,50,93,55,198
Aditi',female,9,23 marks,11,85,119
Vihaan',Male,10,18,62,67,147
Kabir,female,5,72 marks,98,92,262
Rohan,Male,4,49 marks,58,60,167
Navya',1,4,73 marks,58,7 marks,138
"""Ishaan""",F,Grade 9,18 marks,35,59,112
Zara',M,3,95,77 marks,57,229
Ishaan',Female,6,70 marks,68,80 marks,218
Myra,m,Grade 4,39 marks,42,93,174
ANIKA,Female,Grade 11,66 marks,95,2,163
"""Diya""",female,12,12,38,95,145
"""Vihaan""",female,9,42 marks,67,65 marks,174
ROHAN,Male,Grade 9,28 marks,3,91,122
ADVIKA,M,12,66,7,95,168
ANANYA,M,Grade 4,89,30 marks,52,171
"""Ananya""",m,3,100 marks,51,14 marks,165
Shaurya,F,Grade 7,33,44,4,81
Kabir',1,10,43 marks,24 marks,44,111
Myra',male,11,0,42,74 marks,116
"""Shaurya""",male,8,82,74 marks,22 marks,178
"""Anika""",Female,Grade 10,98 marks,35,63,196
Aarav,M,Grade 9,2 marks,27,51 marks,80
"""Arjun""",M,3,19 marks,39 marks,60 marks,118
VIHAAN,Male,7,27,77,36,140
REYANSH,F,Grade 4,14 marks,74,67,155
Krishna',female,2,68,66,48,182
DIYA,0,Grade 8,91 marks,28,94,213
Shaurya,Female,Grade 3,1,47,63,111
"""Shaurya""",female,8,12,78,27 marks,117
"""Aarav""",F,7,58,40 marks,64,162
VIHAAN,F,8,66 marks,61 marks,69 marks,196
"""Saanvi""",f,Grade 10,59,27,14,100
"""Aditi""",Female,Grade 9,14,24,87,125
SHAURYA,1,9,9,92 marks,99,200
"""Arjun""",0,11,52 marks,17 marks,100 marks,169
Reyansh',F,6,3,99 marks,49 marks,151
KRISHNA,1,12,20,66 marks,41,127
"""Ananya""",M,3,49,81,23 marks,153
Isha',M,Grade 11,33,84 marks,25,142
Zara',Female,Grade 3,27,79,13,119
Zara,M,2,55,76,58,189
VIHAAN,Female,Grade 2,97,66,89,252
ARYAN,F,8,33 marks,99,93,225
ADVIKA,1,Grade 8,97,62,63,222
Rohan,M,11,55,32,91,178
"""Diya""",M,10,59,64,30 marks,153
"""Krishna""",1,3,9 marks,83 marks,83,175
"""Isha""",F,Grade 10,80,25,75 marks,180
Kabir',0,Grade 11,0,98,99,197
Ananya,female,6,88 marks,28,87,203
"""Advika""",M,2,31,17,50,98
Krishna',Female,6,38,20 marks,35,93
KRISHNA,F,Grade 11,73,2 marks,36 marks,111
NAVYA,M,3,0 marks,58,91,149
Aryan,f,10,20,79,72,171
"""Diya""",male,Grade 10,6,77,84,167
ISHAAN,M,Grade 10,43 marks,8,19,70
"""Rohan""",0,Grade 11,68,82 marks,7,157
Diya,F,11,18 marks,56,52,126
"""Ananya""",f,12,44,9 marks,85,138
Krishna,f,8,39,1,44 marks,84
Myra',Female,Grade 8,49 marks,53,61 marks,163
KRISHNA,M,Grade 6,56 marks,51,93 marks,200
Shaurya,m,6,24 marks,83 marks,19,126
KABIR,F,3,30,93,8 marks,131
Ishaan,male,4,22 marks,90,34 marks,146
"""Ananya""",Male,Grade 5,42 marks,24 marks,97,163
Aditi',m,4,7,81,25,113
Arjun',f,4,50 marks,26,55 marks,131
ADITI,1,7,47 marks,40,5,92
"""Isha""",m,1,52 marks,79 marks,80,211
ZARA,F,7,56,39,44,139
Zara',female,9,14,55 marks,64 marks,133
Shaurya',M,1,77,34 marks,18 marks,129
VIHAAN,F,10,31,1,65 marks,97
KABIR,F,Grade 8,81,73,82,236
Aditi',M,8,33,15 marks,0,48
KRISHNA,Male,7,28,6 marks,28,62
Reyansh',1,8,34,68,86,188
Navya,M,Grade 11,1 marks,60,32,93
Ishaan',M,12,2 marks,0,70,72
ISHA,F,5,33,97,16,146
Myra',Female,8,33 marks,26 marks,16,75
MYRA,M,Grade 3,95,28,47,170
"""Rohan""",Male,8,53,0 marks,31 marks,84
REYANSH,F,Grade 5,56 marks,51,31,138
Kabir',f,1,40,70 marks,63,173
Krishna',M,Grade 1,40,62 marks,84,186
Diya',f,Grade 6,81 marks,3 marks,42 marks,126
Isha',0,3,45,38 marks,0,83
Arjun',F,6,34,80 marks,90,204
Diya,M,3,99,86,48 marks,233
Saanvi,m,Grade 11,0,35 marks,28,63
REYANSH,m,8,43,67 marks,57,167
ROHAN,Female,7,63,1 marks,76,140
ANIKA,F,5,25,49 marks,88 marks,162
Navya',m,4,54,60,99 marks,213
KABIR,m,Grade 2,98,84 marks,80,262
SAANVI,0,8,12,76,26,114
Ishaan,1,Grade 9,44,8,94,146
Rohan',f,2,60,66,35,161
"""Krishna""",Male,4,8,51 marks,63,122
"""Navya""",0,6,56,59 marks,31,146
"""Zara""",Male,3,17 marks,29 marks,24,70
Diya',f,8,25 marks,3 marks,23,51
Diya',male,3,74,50,21,145
SAANVI,f,Grade 3,28,34,32,94
Arjun',Male,3,19 marks,4 marks,2 marks,25
REYANSH,female,5,87,51,12 marks,150
"""Aditi""",M,Grade 7,32,93 marks,1,126
ARJUN,male,Grade 9,53,70 marks,37,160
Kabir,0,Grade 1,100,73,35 marks,208
Aryan,male,3,85 marks,70 marks,54,209
"""Vihaan""",M,Grade 4,62,46,99,207
"""Navya""",M,6,34,77 marks,54 marks,165
"""Ananya""",male,12,62 marks,54,50 marks,166
ISHAAN,1,11,56,14,48 marks,118
"""Arjun""",1,2,84 marks,72,97,253
"""Aditi""",male,8,95,27,27,149
Aarav',M,1,75,55,89 marks,219
Anika,F,11,58,17 marks,92 marks,167
VIHAAN,F,4,10,59,34,103
"""Aditi""",F,4,14,10,31,55
"""Myra""",M,4,48,27,63,138
Advika',F,7,6,61,40 marks,107
Zara',male,Grade 8,15,78,2 marks,95
ANANYA,F,4,51 marks,36,26,113
"""Shaurya""",m,Grade 5,7,90,30,127
"""Isha""",M,2,84 marks,33 marks,21,138
Rohan,M,6,29 marks,50 marks,5,84
Vihaan',male,Grade 3,30,64 marks,57,151
"""Advika""",F,Grade 11,42,14,65 marks,121
Myra',Female,6,9 marks,62 marks,5,76
"""Reyansh""",Female,11,27,13,96,136
"""Ananya""",F,4,81 marks,45 marks,2,128
"""Advika""",Male,Grade 11,42,9 marks,30,81
"""Vihaan""",M,3,21,24,71,116
Navya,female,5,4 marks,76 marks,6,86
Aditi',M,10,31,70,10 marks,111
NAVYA,m,10,60 marks,36,82 marks,178
ISHAAN,female,3,11,3 marks,30,44
SAANVI,F,4,69,33 marks,95,197
ARYAN,f,12,25,26,8,59
"""Ananya""",F,Grade 3,99 marks,71,99,269
Zara,Male,4,4 marks,95 marks,52,151
VIHAAN,M,11,74 marks,13 marks,52 marks,139
Anika,F,10,66,57,88 marks,211
Kabir,1,7,52,69,100,221
Rohan',1,11,40,27 marks,65 marks,132
Vihaan',F,3,51,77,39,167
"""Reyansh""",f,11,92,79,100,271
ADITI,male,9,50 marks,57,13,120
Krishna,0,Grade 3,40,6,92,138
Aditi',F,Grade 7,79 marks,1,68,148
Myra,Male,2,81 marks,71,37,189
"""Aryan""",Male,8,79,44,48 marks,171
Aryan',male,Grade 1,74,38 marks,2 marks,114
SAANVI,0,1,68 marks,77 marks,23 marks,168
Aarav,m,9,97,0,97,194
"""Ishaan""",F,12,88 marks,99 marks,40 marks,227
Rohan,female,Grade 10,17,13,53,83
Kabir',f,4,45,38 marks,10,93
Diya',female,2,15 marks,9,74 marks,98
Reyansh,F,Grade 8,8 marks,84 marks,97,189
"""Diya""",M,Grade 7,65,10,45,120
ISHAAN,Female,5,31 marks,16,74,121
Myra',M,6,20 marks,70,29,119
Krishna',F,5,34 marks,2 marks,27,63
SAANVI,male,4,13 marks,14,31,58
KRISHNA,male,7,85,59,80,224
"""Myra""",F,Grade 12,76,86,38,200
Shaurya',0,1,3,74 marks,82 marks,159
ANANYA,1,Grade 1,22 marks,35,58,115
"""Ananya""",f,Grade 12,29,47,44,120
Myra,F,9,62 marks,10,9 marks,81
"""Ananya""",m,Grade 11,57,15 marks,81 marks,153
Krishna',1,Grade 11,69,98 marks,1,168
"""Reyansh""",F,7,45 marks,22,21,88
VIHAAN,M,12,5,42,32,79
Krishna',M,10,5,52,63 marks,120
Saanvi,0,12,68,89,18 marks,175
Aditi',female,Grade 4,61,62 marks,35,158
ANANYA,male,11,22,44,21,87
"""Isha""",M,3,99 marks,98 marks,42,239
"""Isha""",male,5,38,39,11,88
"""Aditi""",m,4,36,84,59,179
ISHA,1,Grade 1,13 marks,51,80 marks,144
Diya',M,10,59,72,90 marks,221
NAVYA,female,9,45 marks,30,70,145
Ishaan',M,2,94,82,6,182
DIYA,F,12,89 marks,39,55,183
Vihaan,M,9,41 marks,44,100,185
"""Anika""",Male,8,72 marks,3,55,130
Vihaan,1,9,63 marks,36,41,140
ZARA,1,11,11,43,86,140
"""Reyansh""",M,Grade 7,54,90 marks,77,221
Saanvi,1,7,18 marks,4 marks,55,77
Ishaan',M,3,66 marks,32,84,182
"""Ishaan""",male,6,49 marks,81 marks,69,199
VIHAAN,f,Grade 3,16,63,17,96
Navya,m,Grade 4,34,92 marks,59,185
Anika',Female,Grade 6,73 marks,45 marks,67,185
Zara',F,1,79,100,53,232
SHAURYA,F,6,57,39 marks,35 marks,131
"""Saanvi""",F,9,100,25,31,156
Aditi,1,4,93,63,85,241
Kabir',0,Grade 7,40 marks,72,10,122
Anika',F,3,2 marks,48,84,134
ANANYA,M,Grade 1,65,63,85,213
"""Ishaan""",1,11,73 marks,69,25,167
Krishna',Male,5,13,59 marks,61,133
Rohan',M,10,34,35 marks,62,131
KABIR,0,7,47,100 marks,29,176
Anika,M,4,88,7,13,108
"""Anika""",Male,Grade 10,30 marks,40,23 marks,93
Kabir',1,9,39,67,95,201
Anika',male,Grade 12,30,9,26,65
Arjun',M,2,90,95,14 marks,199
"""Advika""",Male,5,2,100,82,184
"""Vihaan""",m,7,34,40,55,129
SHAURYA,F,10,0,1,38,39
"""Ananya""",F,12,57,88,5,150
Zara',Male,8,49 marks,16,61,126
Arjun',Female,5,51,29,73,153
Isha,male,Grade 10,9,78 marks,82,169
"""Aryan""",F,11,46 marks,17,99,162
ADVIKA,1,7,26,1 marks,56 marks,83
ISHA,F,8,84,49,1,134
KABIR,F,8,33 marks,12 marks,58 marks,103
"""Arjun""",Male,Grade 6,6,27,85 marks,118
"""Navya""",F,3,17 marks,9 marks,48 marks,74
Vihaan,F,5,34,5,52,91
Arjun',m,9,58,65,33 marks,156
Anika',0,3,77,32,6,115
Reyansh,f,2,79,59 marks,52,190
Aditi,F,10,14,69,17,100
"""Saanvi""",0,5,36,0,1,37
ZARA,F,3,73,76 marks,73 marks,222
Rohan,m,5,36,14,24,74
"""Aryan""",F,Grade 11,76 marks,96 marks,51,223
AARAV,0,6,80,73,36 marks,189
Ishaan,Male,6,84 marks,41,80 marks,205
Navya,Male,9,44 marks,19,74 marks,137
Shaurya,Male,9,25,12,89,126
Aryan,f,7,93,90,43 marks,226
